,date,call_arrive_time,agent_id,serve_time,type_call,type_agent,,,score_call,score_agent
96,11/1/2022,08:40:43,39,1689,?,1,,,?,44.59459459
97,11/1/2022,08:40:57,28,1332,?,1,,,?,40.71428571
98,11/1/2022,08:41:15,20,43,?,3,,,?,25
99,11/1/2022,08:42:23,32,1330,?,1,,,?,44.28571429
100,11/1/2022,08:43:31,40,522,?,2,,,?,31.81818182
101,11/1/2022,08:43:55,20,55,?,3,,,?,25
102,11/1/2022,08:44:05,18,1167,?,3,,,?,23.57142857
103,11/1/2022,08:44:38,22,42,3,3,,,0.0487696,30.43478261
104,11/1/2022,08:44:44,7,589,?,4,,,?,0
105,11/1/2022,08:44:53,29,210,2,3,,,0.089684,17.85714286
106,11/1/2022,08:45:07,13,236,?,4,,,?,6.818181818
107,11/1/2022,08:45:56,41,747,?,2,,,?,28.37837838
108,11/1/2022,08:47:33,36,658,?,1,,,?,46.66666667
109,11/1/2022,08:48:08,20,81,?,3,,,?,25
110,11/1/2022,08:49:37,8,42,?,3,,,?,0
111,11/1/2022,08:49:37,42,1930,?,3,,,?,9.090909091
112,11/1/2022,08:49:45,43,1036,?,3,,,?,22.14285714
113,11/1/2022,08:52:22,11,274,?,2,,,?,28.57142857
114,11/1/2022,08:53:55,26,795,?,1,,,?,36.36363636
115,11/1/2022,08:54:36,34,869,1,1,,,0.2560902,46.42857143
116,11/1/2022,08:54:38,12,13,?,3,,,?,11.36363636
117,11/1/2022,08:54:41,17,56,?,2,,,?,31.25
118,11/1/2022,08:55:27,19,73,1,1,,,0.2126774,40
119,11/1/2022,08:55:34,10,262,3,2,,,0.0433531,29.28571429
120,11/1/2022,08:55:47,20,13,?,3,,,?,25
121,11/1/2022,08:55:56,1,151,2,4,,,0.0587037,10.71428571
122,11/1/2022,08:56:18,23,263,?,1,,,?,40.54054054
123,11/1/2022,08:56:30,31,1880,2,3,,,0.1106189,22.85714286
124,11/1/2022,08:56:32,37,160,?,2,,,?,35.13513514
125,11/1/2022,08:56:52,44,116,?,3,,,?,16.66666667
126,11/1/2022,08:57:10,27,62,?,3,,,?,20.45454545
